RefugeesDate,NoRefugees
25/04/2022,85000
27/04/2022,128300
3/05/2022,165700
9/05/2022,180700
18/05/2022,180894
19/05/2022,225894
21/05/2022,1005894
22/05/2022,1068175
23/05/2022,1143057
24/05/2022,1252598
25/05/2022,1509585
26/05/2022,1542006
29/05/2022,1565693
30/05/2022,1697393
31/05/2022,3032612
1/06/2022,4773142
2/06/2022,4774703
3/06/2022,4774703
5/06/2022,4792122
6/06/2022,4824522
7/06/2022,4913869
8/06/2022,4919773
9/06/2022,4942901
10/06/2022,4958105
11/06/2022,4972953
12/06/2022,4986518
13/06/2022,5076934
14/06/2022,5113791
15/06/2022,5129970
16/06/2022,5145849
17/06/2022,5146852
19/06/2022,5147396
20/06/2022,5166105
21/06/2022,5349476
22/06/2022,5349487
23/06/2022,5350285
26/06/2022,5350863
27/06/2022,5371814
28/06/2022,5493080
29/06/2022,5493884
3/07/2022,5498558
4/07/2022,5524054
5/07/2022,5651401
6/07/2022,5655548
10/07/2022,5656749
11/07/2022,5675126
12/07/2022,5827712
13/07/2022,5846934
14/07/2022,5863980
15/07/2022,5883282
16/07/2022,5902393
17/07/2022,5922269
18/07/2022,5956085
19/07/2022,5988696
20/07/2022,6011362
21/07/2022,6026076
22/07/2022,6043626
23/07/2022,6060514
24/07/2022,6076119
25/07/2022,6099745
26/07/2022,6160801
27/07/2022,6178196
28/07/2022,6194406
29/07/2022,6211291
30/07/2022,6227592
31/07/2022,6244872
1/08/2022,6272752
2/08/2022,6302641
3/08/2022,6305849
7/08/2022,6305867
8/08/2022,6311974
9/08/2022,6463084
10/08/2022,6490187
13/08/2022,6521187
14/08/2022,6521506
15/08/2022,6524303
16/08/2022,6708477
17/08/2022,6709366
19/08/2022,6710454
20/08/2022,6714178
21/08/2022,6715908
22/08/2022,6746923
23/08/2022,6880285
24/08/2022,6880285
28/08/2022,6879397
29/08/2022,6901155
30/08/2022,7012230
31/08/2022,7012250
4/09/2022,7008505
5/09/2022,7108206
6/09/2022,7144173
7/09/2022,7146596
11/09/2022,7148514
12/09/2022,7267698
13/09/2022,7288155
14/09/2022,7300371
15/09/2022,7312699
16/09/2022,7326447
17/09/2022,7339526
18/09/2022,7352374
19/09/2022,7381378
20/09/2022,7399966
21/09/2022,7399972
22/09/2022,7400481
23/09/2022,7401475
24/09/2022,7401475
25/09/2022,7403070
26/09/2022,7517893
27/09/2022,7533843
28/09/2022,7533851
30/09/2022,7538397
2/10/2022,7540367
3/10/2022,7638774
4/10/2022,7647426
7/10/2022,7647769
8/10/2022,7652542
9/10/2022,7653676
10/10/2022,7676357
11/10/2022,7678757
12/10/2022,7678820
14/10/2022,7680308
16/10/2022,7681929
17/10/2022,7696281
18/10/2022,7710024
19/10/2022,7710924
23/10/2022,7713382
24/10/2022,7736980
25/10/2022,7753069
26/10/2022,7753073
27/10/2022,7753465
28/10/2022,7754773
30/10/2022,7758102
31/10/2022,7777423
1/11/2022,7785514
6/11/2022,7786492
7/11/2022,7788194
8/11/2022,7824440
11/11/2022,7824459
13/11/2022,7825734
14/11/2022,7827555
15/11/2022,7843714
20/11/2022,7845684
21/11/2022,7847087
22/11/2022,7867219
25/11/2022,7873179
27/11/2022,7876645
29/11/2022,7899537
30/11/2022,7902489
4/12/2022,7906066
5/12/2022,7906463
6/12/2022,7838453
10/12/2022,7841172
12/12/2022,7844654
13/12/2022,7840693
18/12/2022,7842997
19/12/2022,7845182
20/12/2022,7864898
21/12/2022,7865266
22/12/2022,7877290
23/12/2022,7885815
24/12/2022,7885712
25/12/2022,7890370
26/12/2022,7894737
27/12/2022,7896090
28/12/2022,7896842
29/12/2022,7897159
30/12/2022,7891853
31/12/2022,7900739
1/01/2023,7904120
2/01/2023,7907568
3/01/2023,7910625
4/01/2023,7910694
5/01/2023,7911920
6/01/2023,7912459
8/01/2023,7916334
9/01/2023,7917603
10/01/2023,7969315
12/01/2023,7970047
15/01/2023,7970676
16/01/2023,7977989
17/01/2023,7979466
18/01/2023,7979471
19/01/2023,7989333
20/01/2023,7992178
21/01/2023,7992263
22/01/2023,7994929
23/01/2023,7998421
24/01/2023,7998931
26/01/2023,7999803
27/01/2023,8001072
28/01/2023,8002900
29/01/2023,8011527
30/01/2023,8013652
31/01/2023,8047837
3/02/2023,8047971
4/02/2023,8049437
5/02/2023,8050381
6/02/2023,8052591
7/02/2023,8055748
10/02/2023,8062818
12/02/2023,8067262
13/02/2023,8079759
14/02/2023,8081357
15/02/2023,8083278
16/02/2023,8083727
19/02/2023,8086448
20/02/2023,8087688
21/02/2023,8088238
23/02/2023,8090623
24/02/2023,8093188
25/02/2023,8095293
26/02/2023,8101636
27/02/2023,8105729
28/02/2023,8105848
3/03/2023,8106593
5/03/2023,8104054
6/03/2023,8108832
7/03/2023,8107048
9/03/2023,8110709
10/03/2023,8110011
12/03/2023,8112113
13/03/2023,8138206
14/03/2023,8140834
16/03/2023,8141462
17/03/2023,8142543
18/03/2023,8142449
19/03/2023,8147458
20/03/2023,8157230
